id,nombre,email,ciudad,fecha_registro,canal_adquisicion,es_vip
1,Luis Martín 1,cliente1@email.com,Barcelona,2020-01-04,google,False
2,Eva López 2,cliente2@email.com,Valencia,2020-01-07,facebook,False
3,Carlos Ruiz 3,cliente3@email.com,Sevilla,2020-01-10,organico,False
4,Marta Soto 4,cliente4@email.com,Bilbao,2020-01-13,referido,False
5,Pablo Díaz 5,cliente5@email.com,Madrid,2020-01-16,email,False
6,Sara Vega 6,cliente6@email.com,Barcelona,2020-01-19,google,False
7,Ana García 7,cliente7@email.com,Valencia,2020-01-22,facebook,True
8,Luis Martín 8,cliente8@email.com,Sevilla,2020-01-25,organico,False
9,Eva López 9,cliente9@email.com,Bilbao,2020-01-28,referido,False
10,Carlos Ruiz 10,cliente10@email.com,Madrid,2020-01-31,email,False
11,Marta Soto 11,cliente11@email.com,Barcelona,2020-02-03,google,False
12,Pablo Díaz 12,cliente12@email.com,Valencia,2020-02-06,facebook,False
13,Sara Vega 13,cliente13@email.com,Sevilla,2020-02-09,organico,False
14,Ana García 14,cliente14@email.com,Bilbao,2020-02-12,referido,True
15,Luis Martín 15,cliente15@email.com,Madrid,2020-02-15,email,False
16,Eva López 16,cliente16@email.com,Barcelona,2020-02-18,google,False
17,Carlos Ruiz 17,cliente17@email.com,Valencia,2020-02-21,facebook,False
18,Marta Soto 18,cliente18@email.com,Sevilla,2020-02-24,organico,False
19,Pablo Díaz 19,cliente19@email.com,Bilbao,2020-02-27,referido,False
20,Sara Vega 20,cliente20@email.com,Madrid,2020-03-01,email,False
21,Ana García 21,cliente21@email.com,Barcelona,2020-03-04,google,True
22,Luis Martín 22,cliente22@email.com,Valencia,2020-03-07,facebook,False
23,Eva López 23,cliente23@email.com,Sevilla,2020-03-10,organico,False
24,Carlos Ruiz 24,cliente24@email.com,Bilbao,2020-03-13,referido,False
25,Marta Soto 25,cliente25@email.com,Madrid,2020-03-16,email,False
26,Pablo Díaz 26,cliente26@email.com,Barcelona,2020-03-19,google,False
27,Sara Vega 27,cliente27@email.com,Valencia,2020-03-22,facebook,False
28,Ana García 28,cliente28@email.com,Sevilla,2020-03-25,organico,True
29,Luis Martín 29,cliente29@email.com,Bilbao,2020-03-28,referido,False
30,Eva López 30,cliente30@email.com,Madrid,2020-03-31,email,False
31,Carlos Ruiz 31,cliente31@email.com,Barcelona,2020-04-03,google,False
32,Marta Soto 32,cliente32@email.com,Valencia,2020-04-06,facebook,False
33,Pablo Díaz 33,cliente33@email.com,Sevilla,2020-04-09,organico,False
34,Sara Vega 34,cliente34@email.com,Bilbao,2020-04-12,referido,False
35,Ana García 35,cliente35@email.com,Madrid,2020-04-15,email,True
36,Luis Martín 36,cliente36@email.com,Barcelona,2020-04-18,google,False
37,Eva López 37,cliente37@email.com,Valencia,2020-04-21,facebook,False
38,Carlos Ruiz 38,cliente38@email.com,Sevilla,2020-04-24,organico,False
39,Marta Soto 39,cliente39@email.com,Bilbao,2020-04-27,referido,False
40,Pablo Díaz 40,cliente40@email.com,Madrid,2020-04-30,email,False
41,Sara Vega 41,cliente41@email.com,Barcelona,2020-05-03,google,False
42,Ana García 42,cliente42@email.com,Valencia,2020-05-06,facebook,True
43,Luis Martín 43,cliente43@email.com,Sevilla,2020-05-09,organico,False
44,Eva López 44,cliente44@email.com,Bilbao,2020-05-12,referido,False
45,Carlos Ruiz 45,cliente45@email.com,Madrid,2020-05-15,email,False
46,Marta Soto 46,cliente46@email.com,Barcelona,2020-05-18,google,False
47,Pablo Díaz 47,cliente47@email.com,Valencia,2020-05-21,facebook,False
48,Sara Vega 48,cliente48@email.com,Sevilla,2020-05-24,organico,False
49,Ana García 49,cliente49@email.com,Bilbao,2020-05-27,referido,True
50,Luis Martín 50,cliente50@email.com,Madrid,2020-05-30,email,False
51,Eva López 51,cliente51@email.com,Barcelona,2020-06-02,google,False
52,Carlos Ruiz 52,cliente52@email.com,Valencia,2020-06-05,facebook,False
53,Marta Soto 53,cliente53@email.com,Sevilla,2020-06-08,organico,False
