id,nombre,departamento,salario,fecha_contratacion
1,José López 1,Marketing,74977.75,2018-01-16
2,Carmen Ruiz 2,Ventas,41316.55,2018-01-31
3,Antonio García 3,RRHH,54865.77,2018-02-15
4,Laura Martín 4,Finanzas,74536.64,2018-03-02
5,María Pérez 5,Ingeniería,90508.37,2018-03-17
6,José López 6,Marketing,91589.1,2018-04-01
7,Carmen Ruiz 7,Ventas,70615.56,2018-04-16
8,Antonio García 8,RRHH,62624.97,2018-05-01
9,Laura Martín 9,Finanzas,64441.46,2018-05-16
10,María Pérez 10,Ingeniería,40307.9,2018-05-31
11,José López 11,Marketing,50201.18,2018-06-15
12,Carmen Ruiz 12,Ventas,75157.03,2018-06-30
13,Antonio García 13,RRHH,79747.58,2018-07-15
14,Laura Martín 14,Finanzas,96540.09,2018-07-30
15,María Pérez 15,Ingeniería,52561.25,2018-08-14
16,José López 16,Marketing,35285.0,2018-08-29
17,Carmen Ruiz 17,Ventas,81200.23,2018-09-13
18,Antonio García 18,RRHH,81915.41,2018-09-28
19,Laura Martín 19,Finanzas,94394.08,2018-10-13
20,María Pérez 20,Ingeniería,59839.52,2018-10-28
21,José López 21,Marketing,70138.68,2018-11-12
22,Carmen Ruiz 22,Ventas,36906.04,2018-11-27
23,Antonio García 23,RRHH,93268.66,2018-12-12
24,Laura Martín 24,Finanzas,74468.56,2018-12-27
25,María Pérez 25,Ingeniería,82104.58,2019-01-11
26,José López 26,Marketing,43724.47,2019-01-26
27,Carmen Ruiz 27,Ventas,93847.31,2019-02-10
28,Antonio García 28,RRHH,96080.77,2019-02-25
29,Laura Martín 29,Finanzas,73472.66,2019-03-12
30,María Pérez 30,Ingeniería,61019.0,2019-03-27
31,José López 31,Marketing,64117.09,2019-04-11
32,Carmen Ruiz 32,Ventas,33114.74,2019-04-26
33,Antonio García 33,RRHH,99843.03,2019-05-11
34,Laura Martín 34,Finanzas,97388.82,2019-05-26
35,María Pérez 35,Ingeniería,37298.72,2019-06-10
36,José López 36,Marketing,66074.02,2019-06-25
37,Carmen Ruiz 37,Ventas,81949.16,2019-07-10
38,Antonio García 38,RRHH,78133.98,2019-07-25
39,Laura Martín 39,Finanzas,72228.0,2019-08-09
40,María Pérez 40,Ingeniería,78814.11,2019-08-24
41,José López 41,Marketing,72628.03,2019-09-08
42,Carmen Ruiz 42,Ventas,31045.43,2019-09-23
43,Antonio García 43,RRHH,65763.18,2019-10-08
44,Laura Martín 44,Finanzas,45696.07,2019-10-23
45,María Pérez 45,Ingeniería,96017.97,2019-11-07
46,José López 46,Marketing,92160.17,2019-11-22
47,Carmen Ruiz 47,Ventas,88997.23,2019-12-07
48,Antonio García 48,RRHH,56311.18,2019-12-22
49,Laura Martín 49,Finanzas,59544.29,2020-01-06
50,María Pérez 50,Ingeniería,69659.46,2020-01-21
51,José López 51,Marketing,67428.43,2020-02-05
52,Carmen Ruiz 52,Ventas,86229.84,2020-02-20
